close,epoch,high,low,open
2052.585,1701255600,2056.895,2045.526,2048.065
2053.755,1701259200,2060.615,2050.145,2052.585
2053.615,1701262800,2061.845,2051.755,2053.755
2036.485,1701266400,2058.835,2032.4915,2053.3425
2031.35,1701270000,2040.395,2020.295,2036.285
2025.925,1701273600,2033.825,2019.145,2031.455
2032.445,1701277200,2037.705,2020.035,2025.925
2037.283,1701280800,2037.845,2028.275,2032.625
2038.55,1701284400,2042.095,2032.832,2037.275
2025.695,1701288000,2039.8815,2019.395,2038.475
2028.8785,1701291600,2030.368,2022.415,2026.2145
2028.535,1701295200,2032.305,2027.815,2028.845
2028.405,1701298800,2030.875,2024.273,2028.535
2026.005,1701302400,2033.525,2024.255,2028.405
2024.455,1701306000,2029.995,2022.005,2026.005
2035.325,1701309600,2036.415,2023.555,2024.455
2040.285,1701313200,2040.425,2029.5095,2035.325
2035.8545,1701316800,2043.535,2035.035,2040.285
2033.655,1701320400,2038.405,2031.1825,2035.8545
2034.755,1701324000,2038.765,2031.165,2033.655
2035.515,1701327600,2038.735,2032.525,2034.755
2025.635,1701331200,2036.645,2020.435,2035.515
2028.785,1701334800,2032.535,2022.005,2025.635
2029.805,1701338400,2033.675,2027.575,2028.785
2045.175,1701342000,2046.8795,2028.315,2029.805
2045.24,1701345600,2052.675,2042.955,2045.175
2034.985,1701349200,2048.785,2030.415,2045.216
2029.645,1701352800,2035.775,2024.315,2034.985
2033.185,1701356400,2039.405,2025.805,2029.645
2034.785,1701360000,2039.245,2028.295,2033.295
2038.955,1701363600,2040.755,2033.574,2034.785
2038.775,1701367200,2043.975,2036.865,2038.965
2041.245,1701370800,2043.985,2036.105,2038.775
2043.475,1701374400,2046.025,2039.235,2041.245
2045.679,1701378000,2049.1155,2040.005,2043.4195
2042.975,1701381600,2050.415,2042.775,2045.645
2051.765,1701385200,2054.275,2039.895,2042.975
2049.235,1701388800,2053.115,2044.555,2051.765
2087.9765,1701392400,2091.125,2046.725,2049.2245
2085.755,1701396000,2093.555,2082.485,2087.985
2091.965,1701399600,2092.955,2082.8355,2085.755
2094.425,1701403200,2099.875,2089.305,2092.105
2091.265,1701406800,2096.7475,2089.995,2094.425
2092.295,1701410400,2093.325,2086.895,2091.265
2092.335,1701414000,2107.845,2089.435,2092.295
2093.995,1701417600,2098.915,2091.005,2092.295
2104.2395,1701421200,2110.4855,2093.435,2093.995
2089.495,1701424800,2104.995,2088.605,2104.195
2092.215,1701428400,2094.382,2086.085,2089.425
2087.175,1701432000,2094.3095,2083.705,2092.215
2080.425,1701435600,2091.095,2076.835,2087.175
2078.005,1701439200,2082.865,2073.745,2080.425
2079.435,1701442800,2082.815,2070.3035,2078.005
2104.245,1701446400,2109.97,2077.655,2079.435
2093.805,1701450000,2107.875,2088.049,2104.245
2090.135,1701453600,2098.235,2087.075,2093.805
2089.645,1701457200,2091.645,2080.285,2090.135
2090.435,1701460800,2095.6195,2087.545,2089.645
2090.305,1701464400,2095.655,2088.295,2090.435
2085.235,1701468000,2092.264,2081.865,2090.269
2086.995,1701471600,2086.995,2082.735,2085.235
2091.765,1701475200,2092.845,2085.635,2086.93
2093.825,1701478800,2095.7715,2090.045,2091.765
2091.145,1701482400,2096.215,2087.775,2093.825
2092.465,1701486000,2094.505,2089.205,2091.145
2094.1675,1701489600,2094.855,2089.525,2092.465
2094.605,1701493200,2095.895,2090.945,2094.1915
2101.645,1701496800,2102.825,2093.405,2094.605
2095.385,1701500400,2106.465,2094.909,2101.645
2099.095,1701504000,2102.115,2095.655,2095.655
2103.065,1701507600,2105.545,2099.015,2099.095
2101.305,1701511200,2107.155,2099.3455,2103.065
2098.525,1701514800,2101.575,2096.455,2101.305
2105.195,1701518400,2105.635,2097.3605,2098.525
2103.495,1701522000,2108.245,2101.715,2105.195
2098.935,1701525600,2108.875,2092.6945,2103.485
2103.745,1701529200,2105.9365,2093.335,2098.935
2099.065,1701532800,2104.755,2097.005,2103.745
2105.185,1701536400,2105.995,2097.845,2099.065
2148.025,1701540000,2155.8235,2104.0245,2105.525
2159.105,1701543600,2197.77,2130.861,2148.025
2157.735,1701547200,2163.41,2152.985,2159.105
2169.3635,1701550800,2177.081,2153.775,2157.925
2158.605,1701554400,2171.635,2154.305,2169.175
2165.375,1701558000,2166.733,2157.431,2158.605
2166.6725,1701561600,2168.625,2157.565,2165.3505
2169.955,1701565200,2172.495,2165.083,2166.666
2165.265,1701568800,2177.9545,2163.3915,2169.955
2162.385,1701572400,2166.445,2155.905,2165.265
2156.705,1701576000,2163.485,2155.875,2162.385
2160.845,1701579600,2161.8065,2154.2835,2156.705
2157.225,1701583200,2161.465,2153.275,2160.845
2165.065,1701586800,2165.785,2155.285,2157.225
2160.915,1701590400,2165.955,2160.445,2165.065
2166.605,1701594000,2168.485,2160.245,2160.915
2166.865,1701597600,2168.735,2161.356,2166.605
2159.275,1701601200,2167.125,2157.145,2166.865
2152.805,1701604800,2159.435,2149.245,2159.275
2161.535,1701608400,2165.845,2151.095,2152.805
2151.715,1701612000,2163.125,2151.705,2161.535
2160.355,1701615600,2162.995,2151.165,2151.805
2158.955,1701619200,2167.065,2155.285,2160.355
2153.415,1701622800,2160.195,2149.995,2158.955
2161.155,1701626400,2163.745,2152.675,2153.415
2167.595,1701630000,2168.545,2157.6105,2161.155
2167.695,1701633600,2173.205,2165.095,2167.595
2183.125,1701637200,2184.9305,2167.795,2167.795
2205.565,1701640800,2218.945,2181.897,2183.125
2193.245,1701644400,2209.755,2181.6425,2206.041
2210.465,1701648000,2211.705,2191.525,2193.245
2214.555,1701651600,2229.685,2206.1895,2210.645
2212.655,1701655200,2215.935,2204.985,2214.375
2210.775,1701658800,2219.77,2210.375,2212.655
2225.315,1701662400,2226.485,2210.3825,2210.775
2246.655,1701666000,2254.395,2221.3335,2225.21
2247.1475,1701669600,2266.5205,2241.145,2246.5415
