close,epoch,high,low,open
38097.247,1701255600,38152.75,37908.737,37965.05
38147.85,1701259200,38282.25,38041.75,38098.65
38106.95,1701262800,38243.85,38083.05,38147.85
37816.914,1701266400,38176.156,37772.35,38106.95
37816.772,1701270000,37879.003,37552.35,37816.748
37752.15,1701273600,37866.25,37641.04,37817.55
37765.173,1701277200,37869.95,37654.45,37752.15
37849.95,1701280800,37849.95,37661.95,37765.25
37860.685,1701284400,37924.013,37773.406,37849.95
37639.65,1701288000,37871.65,37611.925,37861.05
37726.75,1701291600,37769.95,37572.55,37653.647
37777.65,1701295200,37829.95,37723.85,37727.25
37837.15,1701298800,37856.202,37706.15,37777.65
37759.45,1701302400,37854.15,37749.327,37837.15
37685.75,1701306000,37799.95,37681.35,37759.45
37858.55,1701309600,37907.05,37673.05,37685.75
38034.45,1701313200,38034.95,37827.55,37858.55
37958.35,1701316800,38129.25,37944.05,38034.45
37869.427,1701320400,38001.75,37837.55,37958.35
37854.95,1701324000,37939.379,37782.25,37871.15
37781.95,1701327600,37890.95,37760.55,37854.95
37652.45,1701331200,37805.15,37572.6,37783.15
37702.75,1701334800,37727.75,37601.05,37652.45
37664.719,1701338400,37755.65,37664.719,37702.75
37867.15,1701342000,37894.95,37638.45,37662.75
37861.85,1701345600,37913.55,37812.102,37867.15
37709.55,1701349200,37962.513,37600.05,37861.85
37646.05,1701352800,37774.25,37456.35,37709.55
37608.75,1701356400,37719.95,37508.05,37646.05
37650.65,1701360000,37719.45,37520.05,37613.95
37728.75,1701363600,37746.75,37620.05,37652.059
37733.55,1701367200,37799.95,37693.75,37728.75
37745.35,1701370800,37794.25,37674.95,37733.55
37731.45,1701374400,37755.95,37683.65,37745.35
37730.85,1701378000,37760.25,37684.25,37726.204
37685.65,1701381600,37804.95,37667.05,37730.85
37716.85,1701385200,37720.05,37594.85,37685.85
37665.55,1701388800,37734.55,37600.05,37716.85
37927.35,1701392400,37953.65,37627.427,37665.55
37977.85,1701396000,38069.25,37854.07,37927.35
38030.15,1701399600,38056.845,37933.45,37977.85
38170.45,1701403200,38236.55,38006.55,38030.15
38106.65,1701406800,38195.25,38094.35,38170.45
38197.594,1701410400,38207.95,38060.75,38106.65
38235.15,1701414000,38343.35,38183.15,38198.15
38298.15,1701417600,38354.95,38205.25,38234.85
38705.863,1701421200,38742.275,38298.15,38298.15
38541.85,1701424800,38838.75,38536.85,38706.15
38578.048,1701428400,38657.65,38510.05,38536.95
38358.55,1701432000,38629.85,38291.95,38578.05
38361.35,1701435600,38432.25,38290.45,38356.05
38315.65,1701439200,38388.35,38209.85,38361.35
38401.45,1701442800,38437.35,38280.75,38315.941
38790.05,1701446400,38987.95,38383.05,38401.45
38787.15,1701450000,38879.95,38690.05,38790.05
38691.95,1701453600,38899.95,38689.35,38787.15
38750.05,1701457200,38776.45,38612.172,38691.75
38734.311,1701460800,38849.106,38700.05,38750.05
38760.45,1701464400,38887.95,38734.05,38734.05
38683.75,1701468000,38834.061,38669.35,38760.45
38661.05,1701471600,38720.95,38622.35,38683.75
38692.235,1701475200,38713.45,38615.05,38660.29
38734.45,1701478800,38781.95,38672.15,38692.058
38703.45,1701482400,38753.75,38641.25,38734.45
38767.45,1701486000,38767.45,38697.006,38703.45
38803.95,1701489600,38803.95,38700.05,38767.45
38727.25,1701493200,38807.79,38727.25,38803.95
38762.65,1701496800,38772.05,38700.55,38727.25
38683.95,1701500400,38814.95,38680.05,38762.65
38693.95,1701504000,38723.25,38635.252,38683.95
38757.55,1701507600,38771.85,38685.85,38693.95
38735.75,1701511200,38775.85,38732.006,38757.55
38722.85,1701514800,38739.25,38689.15,38735.75
38763.95,1701518400,38781.25,38716.45,38722.85
38802.65,1701522000,38852.05,38743.35,38763.95
38758.45,1701525600,38836.55,38704.05,38796.25
38790.05,1701529200,38813.45,38689.05,38758.45
38727.95,1701532800,38794.65,38691.05,38789.767
38779.35,1701536400,38779.387,38720.716,38727.95
38856.25,1701540000,38962.45,38767.05,38779.35
